drug,pair_cell_count
ETHYL BROMOPYRUVATE,4
ETODOLAC,4
EVACETRAPIB (LY2484595),4
FAMOTIDINE,4
FASCAPLYSIN,4
FENTICONAZOLE,4
FK-506,4
FLUOROURACIL,4
FLUPHENAZINE HYDROCHLORIDE,4
FMK-MEA,4
FORMONONETIN,4
FR-180204,4
FUROSEMIDE,4
GABEXATE MESILATE,4
GANDOTINIB,4
GANT 58,4
GANT-61,4
GANT61,4
GAVESTINEL SODIUM,4
GDC-0152,4
GLYCYL-H 1152,4
GLYCYL-H-1152,4
GM 1489,4
GM-1489,4
GO 6976,4
GO-6976,4
GO-6983,4
GSK 525768A,4
GSK 650394,4
GSK-1070916A,4
GSK-126,4
GSK-1292263A,4
GSK-1838705A,4
GSK-2334470,4
GSK-256066,4
GSK-2636771,4
GSK-429286A,4
GSK-525768,4
GSK126,4
GSK3 INHIBITOR,4
GW-441756,4
GW-5074,4
GW-6471,4
GW-788388,4
HA-14-1,4
HALOPERIDOL,4
HISTAMINE DIHYDROCHLORIDE,4
HMS3655L04,4
HMSL10038,4
HMSL10058,4
HMSL10077,4
HMSL10083,4
HMSL10087,4
HOMOHARRINGTONINE,4
HONOKIOL,4
HORDENINE,4
HPI 1,4
HPI-1,4
HYPOTHEMYCIN,4
I-BET151,4
I-BET762,4
IBANDRONATE SODIUM HYDRATE,4
IBUPROFEN LYSINE,4
IBUTAMOREN,4
IDE 2,4
IDE-2,4
IDH-C227,4
IDRONOXIL,4
IFOMIDE,4
IKK-2 INHIBITOR VIII,4
IKK-3 INHIBITOR,4
IKK-3 INHIBITOR IX,4
ILOPERIDONE,4
INDOXIMOD,4
IPRIFLAVONE,4
ISOCONAZOLE,4
ISOEVODIAMINE,4
ISOPRENALINE HYDROCHLORIDE,4
ITMN191,4
IVX-214,4
JASMONIC ACID METHYL ESTER,4
JNJ-16259685,4
JNJ-28312141,4
JNK INHIBITOR IX,4
JNK INHIBITOR V,4
JNK-IN-7,4
JZL-195,4
JZL195,4
KANAMYCIN,4
KDS-4103,4
KETANSERIN,4
KH-CB19,4
KHS-101,4
KI-16425,4
KI-8751,4
KINOME_3673,4
KL001,4
KPT-276,4
KRN-633,4
KS-00001D5I,4
KUC103669N,4
KUC105555N,4
KUC107550N,4
KUC107871N,4
KUC107887N,4
KUC110948N,4
KUC111774N,4
KY-02111,4
"L-690,330",4
L-690330,4
L-779450,4
L-SELENOMETHIONINE,4
L-TETRAMISOL,4
LAFUTIDINE,4
LAPPACONITINE,4
LDN-57444,4
LEXIBULIN,4
LEXIBULIN HYDROCHLORIDE,4
LIFICIGUAT,4
LIMONIN,4
"LIPASE INHIBITOR, THL",4
LOMEFLOXACIN HYDROCHLORIDE,4
LOMEGUATRIB,4
LOPERAMIDE HYDROCHLORIDE,4
LORATADINE,4
LSD1-C76,4
LUMACAFTOR,4
LUPEOL,4
LY-2140023,4
LY-2228820,4
LY-2608204,4
LY-2811376,4
LY-294002,4
LY-320135,4
LY-411575,4
M-344,4
MANNITOL,4
MAPROTILINE HYDROCHLORIDE,4
MARBOFLOXACIN,4
MC-1568,4
MECHLORETHAMINE,4
MECLIZINE HYDROCHLORIDE,4
MEK INHIBITOR,4
MEMANTINE HYDROCHLORIDE,4
MERCK-22-6,4
MESNA DISULFIDE,4
METARRESTIN (KUC109088N),4
METENKEPHALIN,4
METHACYCLINE HYDROCHLORIDE,4
METHOCARBAMOL,4
METHYL JASMONATE,4
MEVASTATIN,4
MI-2,4
MITHRAMYCIN A,4
MK-2048,4
ML240,4
ML315,4
ML329,4
ML369,4
MLN-2480,4
MLN-4924,4
MLN-8054,4
MLS002232309,4
MLS003678589,4
MOCRAVIMOD,4
MOXIFLOXACIN HYDROCHLORIDE,4
MOXIFLOXACIN HYDROCHLORIDE MONOHYDRATE,4
MOXONIDINE HYDROCHLORIDE HYDRATE,4
MP-10,4
MUBRITINIB,4
NAFAMOSTAT MESILATE,4
NALIDIXIC ACID,4
NALTREXONE HYDROCHLORIDE,4
NANDROLONE PHENPROPIONATE,4
NANDROLONE PHENYLPROPIONATE,4
NCGC00016645-01,4
NCGC00025091-04,4
NCGC00037850,4
NCGC00094763-03,4
NCGC00096095-02,4
NCGC00161834-01,4
NCGC00163474-05,4
NCGC00163683-02,4
NCGC00164604-03,4
NCGC00164789-05,4
NCGC00165782-02,4
NCGC00166236-01,4
NCGC00166281-02,4
NCGC00179454-04,4
NCGC00183677-03,4
NCGC00185053,4
NCGC00185090-04,4
NCGC00188382-01,4
NCGC00242478-02,4
NCGC00242511-02,4
NCGC00250402-01,4
NCGC00253463-01,4
NCGC00262376,4
NCGC00262689,4
NCGC00262689-01,4
NCGC00263018-01,4
NCGC00263092-01,4
NCGC00263106-01,4
NCGC00263108-01,4
NCGC00263119-01,4
NCGC00263139-01,4
NCGC00263143-01,4
NCGC00263148-01,4
NCGC00263268-01,4
NCGC00263270-01,4
NCGC00263944-01,4
NCGC00345810-01,4
NCGC00345819-01,4
NCGC00346482-01,4
NCGC00346543,4
NCGC00346666-01,4
NCGC00346736-01,4
NCGC00346747,4
NCGC00347908-01,4
NCGC00347951-01,4
NCGC00384826-01,4
NEPAFENAC,4
NEPICASTAT HYDROCHLORIDE,4
NEVIRAPINE,4
NIACIN,4
NIACINAMIDE,4
NIBR-17,4
NIFLUMIC ACID,4
NITOGENIN,4
NMP,4
NMS-873,4
NSC-207895,4
NSC-678515,4
NSC-724771,4
NSC-75503,4
NSC-87877,4
NU-6027,4
NU-6102,4
NU6102,4
NVP-ABE171,4
NVP-BEP800,4
NVP-BVU-972,4
NVP-TAE226,4
OAC1,4
ODANACATIB,4
OLOPATADINE HYDROCHLORIDE,4
OMECAMTIV MECARBIL,4
ONALESPIB,4
OPROZOMIB,4
OROTIC ACID,4
ORTERONEL,4
OSTARINE,4
OSU-03012,4
OTERACIL POTASSIUM,4
OXELADIN CITRATE,4
OXYMETAZOLINE,4
OXYMETAZOLINE HYDROCHLORIDE,4
OXYTETRACYCLINE,4
OZAGREL HYDROCHLORIDE,4
PANCURONIUM BROMIDE,4
PANTOTHENIC ACID,4
PCI-24781,4
PD-098059,4
PD-128907,4
PD-134308,4
PD-153035,4
PD-173955 ANALOGUE 1,4
PD-184352,4
PD-318088,4
PD173955,4
PDK1 INHIBITOR,4
PDPK1 INHIBITOR,4
PEMETREXED DISODIUM,4
PENICILLAMINE,4
PF 184,4
PF-03716556,4
PF-03814735,4
PF-184,4
PF-2545920,4
PF-299804,4
PF-8380,4
PHA-767491A,4
PHENFORMIN HYDROCHLORIDE,4
PHENOXODIOL,4
PHENOXYBENZAMINE HYDROCHLORIDE,4
PHENTOLAMINE MESILATE,4
PHENYLEPHRINE HYDROCHLORIDE,4
PIBOSEROD,4
PIBOSEROD HYDROCHLORIDE,4
PICOPLATIN,4
PIMASERTIB,4
PLERIXAFOR HYDROCHLORIDE,4
POLYMYXIN B SULPHATE,4
PRAMIPEXOLE HYDROCHLORIDE,4
PROTIONAMIDE,4
PRP003-013,4
PTC-124,4
PX-12,4
PYRANTEL PAMOATE,4
QL47,4
QUINAZOLIN-4-YLAMINE,4
R-1487,4
R-547,4
RABUSERTIB,4
RAF-265 DERIVATIVE,4
RAF265 DERIVATIVE,4
RANELIC ACID DISTRONTIUM SALT,4
REBOXETINE MESYLATE,4
RESMINOSTAT,4
RGB-286147,4
RIDAFOROLIMUS,4
RIFAMPIN,4
RIGOSERTIB (ON-01910),4
RITA,4
RITODRINE HYDROCHLORIDE,4
RITONAVIR,4
RKI-1447,4
RO 51,4
RO-31-8425,4
RO-51,4
ROSE BENGAL,4
ROSE BENGAL DISODIUM,4
ROTUNDINE,4
ROXADUSTAT,4
ROXITHROMYCIN,4
RUPINTRIVIR,4
RUTAECARPINE,4
SALIDROSIDE,4
STF-118804,4
SULFAPYRIDINE,4
SULPHADIMETHOXINE,4
TANSHINONE I,4
TEBIPENEM PIVOXIL,4
SCHEMBL185621,4
SSR504734,4
WORTMANNIN FROM PENICILLIUM FUNICULOSUM,4
ZALDARIDE,4
ZINC101426918,4
SB 202190,4
SB 239063,4
SB-747651A,4
SCHEMBL12880048,4
SCHEMBL1614292,4
SCHEMBL17378613,4
SCHEMBL19918218,4
SCHEMBL20400776,4
SCHEMBL2105915,4
SCHEMBL8437603,4
SELENOMETHIONINE,4
SIBUTRAMINE,4
SR9011,4
STRONTIUM RANELATE,4
TECALCET,4
TENOFOVIR DISOPROXIL FUMARATE,4
TEPOTINIB,4
TETRANDRINE,4
THIAMPHENICOL,4
TRICIRIBINEPHOSPHATE,4
TROSPIUM CHLORIDE,4
TROXATYL,4
UNC0638,4
UNII-FA554TW3UP,4
VALACYCLOVIR,4
WH-4-023,4
XRP44X,4
ZIDOVUDINE,4
ZINC18182079,4
ZINC21999985,4
ZINC242723022,4
ZINC250325905,4
ZINC84688828,4
ZOLMITRIPTAN,4
WO2016044770,4
SB-224289,4
SB1518,4
TIDEGLUSIB,4
UNC2250,4
VALDECOXIB,4
WHI-P154,4
ZEBULARINE,4
S31-201,4
SAPITINIB,4
SARAFLOXACIN HYDROCHLORIDE,4
SB-202190,4
SB-239063,4
SB-242235,4
SB-408124,4
SB-415286,4
SB-505124,4
SB-590885,4
SB-705498,4
SB-747651-A,4
SD-169,4
SEMAGACESTAT,4
SGC-0946,4
SIBUTRAMINE HYDROCHLORIDE,4
SILYBIN,4
SKF-89976A,4
SL-0101-1,4
SNX-2112,4
SODIUM CROMOGLYCATE,4
SP-600125,4
SR-1664,4
SR-3677,4
SR-9011,4
STAUPRIMIDE,4
STEMREGENIN 1,4
SU-5402,4
SU-6656,4
SU-MI-2,4
SURAMIN SODIUM,4
TACRINE HYDROCHLORIDE,4
TALTIRELIN,4
TANESPIMYCIN,4
TCS-2312,4
TCS-JNK-5A,4
TEGAFUR,4
TEGASEROD MALEATE,4
TEMOCAPRIL HYDROCHLORIDE,4
TESTOSTERONE CYPIONATE,4
TETRACYCLINE HYDROCHLORIDE,4
TETRAHYDROURIDINE,4
TG-100115,4
TG-101209,4
TG-46,4
TG-89,4
THEOPHYLLAMINE,4
TICLOPIDINE HYDROCHLORIDE,4
TIE-2 KINASE INHIBITOR,4
TIOGUANINE,4
TIZANIDINE HYDROCHLORIDE,4
TRICIRIBINE PHOSPHATE,4
TRIPTERIN,4
TROXACITABINE,4
TWS-119,4
TYRPHOSTIN B42,4
UK-383367,4
UNC-0638,4
UNC-669,4
URIDINE TRIACETATE,4
VADIMEZAN,4
VALACICLOVIR,4
VANCOMYCIN HYDROCHLORIDE,4
VANOXEAMINE,4
VARESPLADIB,4
VARLITINIB TOSYLATE,4
VCH-916,4
VER-82576,4
VICRIVIROC (SCH-417690),4
VISTUSERTIB,4
VOSAROXIN,4
VU0357121,4
WP-1066,4
WS-3,4
WYE-125132,4
WYETH COT INHIBITOR 2,4
WZ-3146,4
WZ-8040,4
XIMELAGATRAN,4
XL-147,4
XL-765,4
XRP-44X,4
XYLOMETAZOLINE HYDROCHLORIDE,4
Y-39983,4
YM-201636,4
ZM-336372,4
ZOLEDRONIC ACID MONOHYDRATE,4
ZOSUQUIDAR TRIHYDROCHLORIDE,4
(+)-MATRINE,3
(+)-USNIACIN,3
(-)-PARTHENOLIDE,3
17-AAG (TANESPIMYCIN),3
3-DEAZANEPLANOCIN A (DZNEP),3
4SC-202,3
7-AMINOCEPHALOSPORANIC ACID,3
A 438079,3
A-1210477,3
A-196,3
A-366,3
A66,3
A922500,3
ACALISIB,3
ACAMPROSATE CALCIUM,3
ACOLBIFENE,3
ACTB-1003,3
ACY-738,3
ACY-775,3
ADOMEGLIVANT,3
AG-490 (TYRPHOSTIN B42),3
ALOPERINE,3
ALTIRATINIB,3
ALVIMOPAN,3
ALW-II-41-27,3
AMANTADINE HCL,3
AMCASERTIB,3
AMG PERK 44,3
AMG-337,3
AMINOPHYLLINE,3
AMIODARONE HCL,3
AMISELIMOD HYDROCHLORIDE,3
AMRUBICIN,3
AMSACRINE,3
ANAMORELIN,3
ANLOTINIB,3
AP-768,3
AP26113,3
APAZIQUONE,3
APTO-253,3
APY29,3
AR-A014418,3
ARBUTIN,3
ARGLABIN,3
ARS-853,3
ARTEFANILIDE,3
ARV-771,3
ARV-825,3
ASCIMINIB,3
ASP-9521,3
ATACIGUAT,3
ATAZANAVIR SULFATE,3
ATIPRIMOD,3
ATN-161,3
ATRACTYLENOLIDE I,3
ATRACURIUM BESYLATE,3
ATRASENTAN,3
ATUVECICLIB,3
AVACOPAN,3
AVITINIB,3
AVL-292,3
AX-024,3
AZ191,3
AZD-8835,3
AZD2461,3
AZD3463,3
AZD3514,3
AZD8055,3
BACITRACIN (ZINC),3
BAICALIN,3
BALICATIB,3
BASMISANIL,3
BAY-1436032,3
BAY-1895344,3
BELINOSTAT (PXD101),3
BELIZATINIB,3
BELOTECAN,3
BENSERAZIDE HCL,3
BETA CAROTENE,3
BGB-3111,3
BGP-15,3
BGT226 (NVP-BGT226),3
BI-7273,3
BI-847325,3
BI-9564,3
BIMIRALISIB,3
BISOPROLOL,3
BIX02188,3
BLU-554,3
BMS-214662,3
BMS-582949,3
BMS-587101,3
BMS-687453,3
BMS-906024,3
BMS-983970,3
BMS-986020,3
BMS-986158,3
BMS-986205,3
BPTES,3
BQ-123,3
BREQUINAR,3
BRICICLIB,3
BRIGATINIB,3
BRILANESTRANT,3
BRINCIDOFOVIR,3
BRL-15572,3
BROMHEXINE HCL,3
BRUCEANTIN,3
BUFLOMEDIL HCL,3
BVT-14225,3
BVT-3498,3
CAFFEIC ACID,3
CANNABIDIOL,3
CARBOXYAMIDOTRIAZOLE,3
CATHEPSIN S INHIBITOR,3
CB-5083,3
CB-839,3
CC-115,3
CC-223,3
CC-885,3
CCT251236,3
CEBRANOPADOL,3
CEFACLOR,3
CEFOSELIS SULFATE,3
CEFPROZIL MONOHYDRATE,3
CEP-40783,3
CEPHALEXIN,3
CEPHRADINE,3
CERDULATINIB,3
CEVIPABULIN,3
CFI-400945,3
CFI-402257,3
CHIR-98014,3
CHLORAMPHENICOL PALMITATE,3
CHLOROPYRAMINE HYDROCHLORIDE,3
CHRYSIN,3
CHZ868,3
CI994 (TACEDINALINE),3
CICLESONIDE,3
CINACALCET HCL,3
CINACIGUAT,3
CINCHONIDINE,3
CLARITHROMYCIN,3
CLEMASTINE FUMARATE,3
CLEMIZOLE HYDROCHLORIDE,3
CLEVUDINE,3
CLOMIPRAMINE HCL,3
CLONIDINE,3
CLOXACILLIN SODIUM,3
CNX-2006,3
CO-1686 (AVL-301),3
CPI-0610,3
CPI-1189,3
CPI-1205,3
CPI-169 RACEMATE,3
CPI-203,3
CPI-360,3
CPI-4203,3
CPI-444,3
CPI-455,3
CPI-637,3
CRENIGACESTAT,3
CRYSTAL VIOLET,3
CTS-1027,3
CUDC-427,3
CVT-313,3
CYPROHEPTADINE HCL,3
D-MANNITOL,3
DANIRIXIN,3
DAPRODUSTAT,3
DARUNAVIR,3
DECERNOTINIB,3
DEFEROXAMINE MESYLATE,3
DEGRASYN (WP1130),3
DEHYDROEPIANDROSTERONE (DHEA),3
DERAZANTINIB,3
DESFESOTERODINE,3
DEXANABINOL,3
DICLOFENSINE,3
DIDANOSINE,3
DIHYDROARTEMISININ (DHA),3
DILTIAZEM HCL,3
DOBUTAMINE,3
DOFEQUIDAR,3
DOLASTATIN 10,3
DOLUTEGRAVIR (GSK1349572),3
DOPAMINE HCL,3
DOXAZOSIN MESYLATE,3
DRONEDARONE HCL,3
EAI045,3
EFAPROXIRAL,3
EFT508,3
EL-102,3
ELACESTRANT,3
ELAFIBRANOR,3
ELAGOLIX,3
EMTRICITABINE,3
ENASIDENIB,3
ENCORAFENIB,3
ENTOSPLETINIB,3
ENTRECTINIB,3
EPACADOSTAT,3
EPIRUBICIN HCL,3
EPISILVESTROL,3
EPOTHILONE D,3
EPROSARTAN MESYLATE,3
EPZ-6438,3
EPZ004777,3
EPZ011989,3
EPZ5676,3
ER 819762,3
ERDAFITINIB,3
ERIBULIN MESYLATE,3
ESOMEPRAZOLE SODIUM,3
ESZOPICLONE,3
ETOMOXIR,3
ETORICOXIB,3
ETRASIMOD,3
EVOBRUTINIB,3
EXATECAN,3
EXHERIN,3
EZUTROMID,3
FADROZOLE,3
FASUDIL (HA-1077) HCL,3
FESOTERODINE FUMARATE,3
FG-2216,3
FILANESIB,3
FINGOLIMOD (FTY720) HCL,3
FLEROXACIN,3
FLUMATINIB MESYLATE,3
FLUNARIZINE,3
FLUTICASONE FUROATE,3
FRUQUINTINIB,3
GABEXATE MESYLATE,3
GARDIQUIMOD,3
GDC-0077,3
GDC-0084,3
GDC-0326,3
GDC-0339,3
GDC-046,3
GDC-0623,3
GDC-0834 RACEMATE,3
GENIPIN,3
GENZ-644282,3
GGTI-2418,3
GILTERITINIB,3
GINSENOSIDE RB1,3
GLASDEGIB,3
GLESATINIB,3
GNE-317,3
GNE-3511,3
GNE-495,3
GNE-9605,3
GNF-6231,3
GNF-7,3
GOLVATINIB (E7050),3
GRANISETRON HYDROCHLORIDE,3
GSK-J2,3
GSK1059615,3
GSK2795039,3
GSK9311,3
GW2580,3
GW5074,3
GZD824,3
HESPERIDIN,3
HISTAMINE 2HCL,3
HYODEOXYCHOLIC ACID (HDCA),3
IBUPROFEN,3
ICOTINIB HYDROCHLORIDE,3
IDASANUTLIN,3
IGURATIMOD,3
IMEGLIMIN,3
INCYCLINIDE,3
INDINAVIR SULFATE,3
INDIPLON,3
IPI-549,3
IPRATROPIUM BROMIDE HYDRATE,3
ISOPRENALINE HCL,3
ITACITINIB,3
IVOSIDENIB,3
JNJ-42041935,3
JNJ-42165279,3
JPH203,3
JX-401,3
KDM5-C70,3
KPT-330,3
KPT-9274,3
KRCA-0008,3
LACTOBIONIC ACID,3
LAETRILE,3
LAQ824 (DACINOSTAT),3
LDN-212854,3
LDN-214117,3
LEMBOREXANT,3
LEVOSULPIRIDE,3
LIAROZOLE,3
LINCOMYCIN HCL,3
LIRANAFTATE,3
LITRONESIB,3
LLY-507,3
LOMEFLOXACIN HCL,3
LOPERAMIDE HCL,3
LORLATINIB,3
LOSMAPIMOD,3
LTX-315,3
LUCANTHONE,3
LUCITANIB,3
LURBINECTEDIN,3
LY2228820,3
LY2608204,3
LY2886721,3
LY404039,3
M2698,3
MANASSANTIN A,3
MARIMASTAT,3
MASLINIC ACID,3
MAVACAMTEN,3
MECLIZINE 2HCL,3
MEMANTINE HCL,3
MERESTINIB,3
MEROPENEM,3
METHYLSTAT,3
MI-503,3
MI-538,3
MIANSERIN,3
MILADEMETAN,3
MIR96-IN-1,3
MIRANSERTIB,3
MITAPIVAT,3
MITIGLINIDE CALCIUM,3
MIZOLASTINE,3
MK-0557,3
MK-0812,3
MK-1064,3
MK-4101,3
MK-8033,3
MKC-1,3
ML226,3
ML264,3
ML323,3
MOLIDUSTAT,3
MOROXYDINE,3
MOTOLIMOD,3
MPI-0479605,3
MPS1-IN-1,3
MRT-83,3
MSC2530818,3
MT-DADME-IMMA,3
MUBRITINIB (TAK 165),3
NAFAMOSTAT MESYLATE,3
NALTREXONE HCL,3
NAMPT-IN-1,3
NAPABUCASIN,3
NAPROXEN,3
NAQUOTINIB MESYLATE,3
NARATRIPTAN,3
NASTORAZEPIDE,3
NAVOXIMOD,3
NBI-74330,3
NCGC00344999-01,3
NELFINAVIR,3
NETARSUDIL,3
NIMORAZOLE,3
NIROGACESTAT,3
NITROXOLINE,3
NMS-859,3
NMS-P118,3
NPS-1034,3
NSC 319726,3
NVP-LCQ195,3
NVS-CECR2-1,3
NVS-PAK1-1,3
OBATOCLAX MESYLATE (GX15-070),3
OGLUFANIDE,3
OICR-9429,3
OLMUTINIB,3
OLOPATADINE HCL,3
OLTIPRAZ,3
OMAVELOXOLONE,3
ONDANSETRON,3
ONO-4059 ANALOG,3
OSPEMIFENE,3
OSTHOLE,3
OTENABANT,3
OTS-514,3
OXA-01,3
OXACILLIN SODIUM SALT,3
OXYBUTYNIN CHLORIDE,3
OZAGREL HCL,3
OZANIMOD,3
P21D HYDROCHLORIDE,3
PACRITINIB (SB1518),3
PAEONIFLORIN,3
PATUPILONE,3
PD168393,3
PELITINIB (EKB-569),3
PF-05212384 (PKI-587),3
PHENFORMIN HCL,3
PHENOXYBENZAMINE HCL,3
PHENTOLAMINE MESYLATE,3
PHENYLEPHRINE HCL,3
PIOGLITAZONE HCL,3
PLURISIN #1 (NSC 14613),3
PRACINOSTAT (SB939),3
PRAMIRACETAM,3
PRANLUKAST,3
PROPAFENONE HCL,3
PURFALCAMINE,3
RESISTOMYCIN,3
RHEOCHRYSIDIN,3
RIBITOL,3
RITODRINE HCL,3
RIVAROXABAN,3
RIVASTIGMINE TARTRATE,3
RIZATRIPTAN BENZOATE,3
SARAFLOXACIN HCL,3
SB216763,3
SB743921,3
SCLAREOLIDE,3
SEMAXANIB (SU5416),3
SERTRALINE HCL,3
SESAMIN,3
SGC 0946,3
SILIBININ,3
SILODOSIN,3
SKI II,3
SORBITOL,3
SULFADIAZINE,3
SULFISOXAZOLE,3
SUMATRIPTAN SUCCINATE,3
TACRINE HCL,3
TAXIFOLIN (DIHYDROQUERCETIN),3
STAVUDINE,3
SULFAPHENAZOLE,3
TETRAHYDROPAPAVERINE,3
TORSEMIDE,3
VENLAFAXINE,3
WIN-55212-2,3
XL147,3
ARTESANILIDE,3
BIFEMELANE,3
DESIPRAMINE HYDROCHLORIDE,3
DIARTEFANILIDE,3
FR-900098,3
HEXYLCAINE HYDROCHLORIDE,3
METHDILAZINE HYDROCHLORIDE,3
MIBEFRADIL DIHYDROCHLORIDE,3
NISOXETINE,3
NITD609-WRONG ENANTIOMER,3
R(-)-ME5,3
TAVABOROLE / AN2690,3
TOCAINIDE HYDROCHLORIDE,3
TRICLOCARBAN,3
TRICLOSAN,3
VER-3323 HEMIFUMARATE SALT,3
PARECOXIB SODIUM,3
PCI-27483,3
PEFICITINIB,3
PEMAFIBRATE,3
PEXIDARTINIB,3
PEXMETINIB,3
PF-04418948,3
PF-04457845,3
PF-04620110,3
PF-04979064,3
PF-06250112,3
PF-06273340,3
PF-06282999,3
PF-06447475,3
PF-06650833,3
PF-06651600,3
PF-3644022,3
PF-4800567,3
PF-4989216,3
PF-CBP1,3
PFI-3,3
PFI-4,3
PFK-158,3
PI-3065,3
PILARALISIB,3
PIPEQUALINE,3
PKI-166,3
PORFIROMYCIN,3
POZIOTINIB,3
PRADIGASTAT,3
PRALNACASAN,3
PRELADENANT,3
PREXASERTIB,3
PRINABEREL,3
PROGLUMIDE,3
PT-2385,3
PYRIDOSTATIN,3
PYRONARIDINE TETRAPHOSPHATE,3
R-268712,3
RAVOXERTINIB,3
RELUGOLIX,3
REPARIXIN,3
RESATORVID,3
RESIQUIMOD,3
RETASPIMYCIN HYDROCHLORIDE,3
RGB-286638,3
RIOCIGUAT,3
RIPASUDIL,3
RO8994,3
ROLAPITANT,3
RONICICLIB,3
ROTTLERIN,3
RRX-001,3
RSL3,3
SAR-260301,3
SAVOLITINIB,3
SELETALISIB,3
SELONSERTIB,3
SERABELISIB,3
SEVITERONEL,3
SGI-7079,3
SITRAVATINIB,3
SJG-136,3
SOLCITINIB,3
SP-2509,3
SR-3029,3
STAUROSPORINE,3
STK16-IN-1,3
SUFUGOLIX,3
SULFATINIB,3
TAK-441,3
TAK-593,3
TAK-659,3
TAK-960,3
TAS-116,3
TASQUINIMOD,3
TENALISIB,3
TENATOPRAZOLE,3
TESEVATINIB,3
TETRACYCLINE HCL,3
TG003,3
THZ531,3
TIAGABINE HYDROCHLORIDE,3
TIBOLONE,3
TICLOPIDINE HCL,3
TIPIRACIL,3
TIRAPAZAMINE,3
TIZANIDINE HCL,3
TM-5275,3
TOCERANIB,3
TOLIMIDONE,3
TOLRESTAT,3
TP-0903,3
TP-3654,3
TPX-0005,3
TRABECTEDIN,3
TRIAPINE,3
TRICHOSTATIN A (TSA),3
TRIFLUOPERAZINE 2HCL,3
TRIPTONIDE,3
TUSSILAGONE,3
UK-371804,3
ULIXERTINIB,3
UMBRALISIB,3
UNBS-5162,3
UNC1999,3
VADADUSTAT,3
VALRUBICIN,3
VBY-825,3
VE-822,3
VERDINEXOR,3
VESNARINONE,3
VLX-600,3
VORTIOXETINE (LU AA21004) HBR,3
VORUCICLIB,3
VOXTALISIB,3
VS-5584,3
VU0661013,3
VX-984,3
WAY-262611,3
WEHI-345,3
WEHI-539,3
WIKI4,3
WP1066,3
WT-161,3
WZ4003,3
XANTHATIN,3
XL-228,3
XL-888,3
XL019,3
XL388,3
XL888,3
XMD17-109,3
XMD8-87,3
XMU-MP-1,3
XYLOMETAZOLINE HCL,3
YKL-05-099,3
YM155 (SEPANTRONIUM BROMIDE),3
TROPISETRON,3
WORTMANNIN,3
ZANAMIVIR,3
(+)-BLEBBISTATIN,2
(-)-CHLORPHENIRAMINE,2
"(13S)-3-HYDROXY-13-METHYL-7,8,9,11,12,14,15,16-OCTAHYDRO-6H-CYCLOPENTA[A]PHENANTHREN-17-ONE",2
"(2R,3R,4S,5R,6S)-2-(HYDROXYMETHYL)-6-(4-HYDROXYPHENOXY)OXANE-3,4,5-TRIOL",2
"(2Z,4E,6E,8E)-N-(4-HYDROXYPHENYL)-3,7-DIMETHYL-9-(2,6,6-TRIMETHYL-1-CYCLOHEXENYL)NONA-2,4,6,8-TETRAENAMIDE",2
"(3ALPHA,5BETA,7ALPHA)-3,7-DIHYDROXYCHOLAN-24-OIC ACID",2
"(3S,4R)-TOFACITINIB",2
"(6R)-5,10-METHYLENETETRAHYDROFOLATE",2
"(8R,9S,10R,13S,14R,17R)-17-HYDROXY-10,13-DIMETHYL-1,2,6,7,8,9,11,12,14,15,16,17-DODECAHYDROCYCLOPENTA[A]PHENANTHREN-3-ONE",2
(E)-1-(4-((6-AMINO-5-((METHOXYIMINO)METHYL)PYRIMIDIN-4-YL)OXY)-2-CHLOROPHENYL)-3-ETHYLUREA,2
(E)-N-METHYL-2-((3-(2-(PYRIDIN-2-YL)VINYL)-1H-INDAZOL-6-YL)THIO)BENZAMIDE,2
(R)-(-)-ROLIPRAM,2
(R)-BICALUTAMIDE,2
(R)-ETODOLAC,2
(R)-PFI-2,2
(S)-(+)-NIGULDIPINE,2
(±)-TAXIFOLIN,2
"1-(2,4-DIHYDROXYPHENYL)-3-(4-HYDROXYPHENYL)PROP-2-EN-1-ONE",2
1-BETA-D-XYLOFURANOSYLURACIL,2
1-[2-FLUORO-5-(TRIFLUOROMETHYL)PHENYL]-3-[4-METHYL-3-[[(3Z)-2-OXO-3-(1H-PYRROL-2-YLMETHYLIDENE)-1H-INDOL-6-YL]AMINO]PHENYL]UREA,2
10-DEACETYLBACCATIN III,2
1022958-60-6,2
1037624-75-1,2
1044870-39-4,2
1056901-62-2,2
1061318-81-7,2
108341-18-0,2
108740-89-2,2
1093403-33-8,2
11-CIS RETINOIC ACID,2
1101810-02-9,2
110448-33-4,2
112648-68-7,2
1134156-31-2,2
1169562-71-3,2
1197996-80-7,2
121268-17-5,2
1218942-37-0,2
1233948-35-0,2
1239610-44-6,2
1265229-25-1,2
1293395-67-1,2
1301214-47-0,2
1320288-19-4,2
13292-46-1,2
134036-52-5,2
1352608-82-2,2
1357171-62-0,2
1359164-11-6,2
1370256-78-2,2
1421227-52-2,2
1439901-97-9,2
1440754-12-0,2
145-13-1,2
145158-71-0,2
145986-26-1,2
15(S)-FLUPROSTENOL ISOPROPYL ESTER,2
155148-31-5,2
155206-00-1,2
1554458-53-5,2
1616392-22-3,2
1627696-51-8,2
17-HYDROXYPREGN-4-EN-20-YN-3-ONE,2
17-METHYLTESTOSTERONE,2
170151-24-3,2
171927-40-5,2
177530-93-7,2
183321-86-0,2
1844849-11-1,2
1869912-40-2,2
